Date,Open,High,Low,Close
2022-10-03,1409.95,1417.85,1401.1,1413.2
2022-10-04,1429.5,1458.0,1426.15,1453.0
2022-10-06,1459.95,1462.6,1434.2,1437.0
2022-10-07,1430.25,1434.95,1420.35,1430.8
2022-10-10,1408.0,1426.0,1398.2,1415.0
2022-10-11,1401.1,1417.0,1399.45,1400.65
2022-10-12,1403.2,1414.85,1397.3,1409.8
2022-10-13,1402.05,1406.25,1384.0,1393.6
2022-10-14,1417.0,1447.0,1415.25,1439.0
2022-10-17,1435.0,1457.6,1427.0,1446.55
2022-10-18,1458.05,1462.9,1440.0,1443.85
2022-10-19,1464.0,1477.4,1453.4,1458.65
2022-10-20,1444.0,1452.9,1442.5,1448.8
2022-10-21,1452.0,1457.65,1434.0,1438.6
2022-10-24,1454.3,1463.0,1454.3,1461.05
2022-10-25,1461.1,1467.8,1445.0,1450.9
2022-10-27,1464.5,1467.35,1451.25,1454.4
2022-10-28,1450.0,1467.0,1447.4,1458.7
2022-10-31,1472.0,1498.0,1467.25,1496.7
