Date,Open,High,Low,Close
2022-10-03,3348.0,3352.5,3285.75,3302.9
2022-10-04,3330.0,3368.35,3312.05,3337.75
2022-10-06,3337.75,3366.75,3311.7,3328.95
2022-10-07,3318.0,3359.6,3287.25,3343.7
2022-10-10,3280.0,3299.0,3260.2,3277.95
2022-10-11,3290.5,3360.0,3274.0,3298.7
2022-10-12,3335.0,3339.5,3206.0,3248.2
2022-10-13,3230.1,3258.2,3193.9,3209.0
2022-10-14,3235.0,3246.0,3180.0,3185.5
2022-10-17,3185.5,3218.0,3170.1,3197.6
2022-10-18,3218.0,3250.0,3212.0,3225.85
2022-10-19,3242.0,3245.7,3196.35,3212.75
2022-10-20,3198.0,3241.85,3101.8,3140.9
2022-10-21,3140.0,3164.75,3072.65,3092.4
2022-10-24,3150.0,3159.0,3116.0,3121.65
2022-10-25,3134.0,3135.0,3079.9,3084.9
2022-10-27,3123.0,3123.0,3033.0,3043.45
2022-10-28,3058.7,3071.6,3040.0,3053.4
2022-10-31,3082.0,3113.0,3061.05,3107.7
