Date,Open,High,Low,Close
2022-10-03,2538.5,2573.95,2520.45,2525.55
2022-10-04,2580.0,2627.9,2561.1,2621.8
2022-10-06,2654.0,2663.65,2630.25,2646.1
2022-10-07,2684.9,2734.9,2609.9,2624.95
2022-10-10,2599.8,2599.8,2531.4,2570.5
2022-10-11,2575.0,2575.5,2533.8,2548.15
2022-10-12,2550.0,2564.45,2516.1,2550.05
2022-10-13,2553.0,2574.3,2532.0,2546.45
2022-10-14,2575.5,2585.0,2529.05,2535.9
2022-10-17,2524.0,2570.0,2521.55,2553.7
2022-10-18,2566.5,2596.75,2534.7,2562.0
2022-10-19,2574.0,2574.0,2532.2,2541.2
2022-10-20,2536.45,2570.0,2502.75,2565.55
2022-10-21,2571.0,2577.0,2547.95,2569.85
2022-10-24,2586.0,2590.0,2575.0,2581.9
2022-10-25,2586.1,2602.0,2566.05,2585.6
2022-10-27,2598.0,2620.0,2577.05,2610.75
2022-10-28,2623.85,2674.35,2619.0,2649.85
2022-10-31,2668.0,2694.15,2656.5,2676.85
